Gender;Ankle_min_girth;Wrist_min_girth;Height;Weight;Chest_depth;Biacromial_diameter
1;23.5;16.5;174;65.6;17.7;42.9
1;24.5;17;175.3;71.8;16.9;43.7
1;21.9;16.9;193.5;80.7;20.9;40.1
1;23;16.6;186.5;72.6;18.4;44.3
1;24.4;18;187.2;78.8;21.5;42.5
1;23.5;16.9;181.5;74.8;19.6;43.3
1;23.6;18.8;184;86.4;21.9;43.5
1;22.5;18;184.5;78.4;21.8;44.4
1;22;16.5;175;62;15.5;43.5
1;22.2;16.9;184;81.6;22.5;42
1;23.2;16.2;180;76.6;20.1;40.3
1;24.3;18.2;177.8;83.6;20.5;43.7
1;26;18;192;90;20.8;47.4
1;21.5;16.6;176;74.6;21.7;40.3
1;22;16.5;174;71;21.9;41
1;24;17.5;184;79.6;21.7;45
1;24.2;17.8;192.7;93.8;21;39.9
1;22;17.1;171.5;70;19.3;43
1;23;18.5;173;72.4;22.2;43.1
1;26.5;18.8;176;85.9;20.2;43.6
1;21;17.3;176;78.8;21.3;42
1;23;18;180.5;77.8;20;43.8
1;23.5;16;172.7;66.2;18;42.3
1;22.9;17;176;86.4;21.8;42.7
1;22.8;18.2;173.5;81.8;18.3;44.8
1;23.5;19;178;89.6;20.2;46
1;23.5;16.7;180.3;82.8;20.2;45.4
1;23.5;17.8;180.3;76.4;19.2;40.5
1;21.5;16.5;164.5;63.2;17.6;39.4
1;21;15.6;173;60.9;18.1;40.2
1;21;16.6;183.5;74.8;19.4;44.2
1;22.4;17.2;175.5;70;22.9;41
1;22.9;17;188;72.4;19.2;44
1;24.3;17.2;189.2;84.1;23.6;41.6
1;21.8;16.9;172.8;69.1;20.8;41
1;21.5;17;170;59.5;17.7;41.5
1;21;17;182;67.2;19;41.1
1;22.9;16;170;61.3;18.5;38.8
1;23;16.8;177.8;68.6;18.7;36.2
1;23.3;18.7;184.2;80.1;18.2;42.1
1;23.1;17.6;186.7;87.8;23.7;40.3
1;22.6;17.5;171.4;84.7;21.6;41.7
1;23.4;16.7;172.7;73.4;18.5;37.8
1;22.9;17;175.3;72.1;19.4;39.2
1;22.2;17.9;180.3;82.6;19.4;41.5
1;24.3;18.9;182.9;88.7;20.6;42.5
1;23.2;16.8;188;84.1;20.4;39.4
1;25.7;17.7;177.2;94.1;21.6;43.6
1;21.4;16.3;172.1;74.9;19.7;38.9
1;20.3;15.8;167;59.1;18;37.6
1;21.1;16.9;169.5;75.6;20.2;39.4
1;22.7;17.9;174;86.2;20.6;38.5
1;23.4;17.3;172.7;75.3;19.2;40.1
1;21.9;16.4;182.2;87.1;20.9;40.3
1;19;15;164.1;55.2;17.3;37.6
1;20;15.8;163;57;17;38.3
1;21.1;15.3;171.5;61.4;19.1;39.7
1;23.2;17.7;184.2;76.8;22.5;42.2
1;25.3;17.5;174;86.8;23.2;41.1
1;21.4;16.5;174;72.2;19.6;40.5
1;21.6;16.1;177;71.6;20.8;41.5
1;22.4;17.2;186;84.8;20.3;43.4
1;21.8;17.5;167;68.2;19.1;43.5
1;21.1;16.9;171.8;66.1;17.5;41.3
1;22;17.5;182;72;18.4;40.3
1;22.8;17.4;167;64.6;20;36.3
1;21.8;16.7;177.8;74.8;18.3;39.9
1;22;17.2;164.5;70;19.7;39.8
1;24.6;17.7;192;101.6;23.9;43.5
1;21;16.1;175.5;63.2;19.5;41.2
1;24.5;17.9;171.2;79.1;22.5;44
1;21.6;16.6;181.6;78.9;21.6;41.8
1;21.2;15.6;167.4;67.7;18.9;42.9
1;23.8;17.5;181.1;66;18.3;38.7
1;22;17;177;68.2;18.6;41.4
1;22.7;15.8;174.5;63.9;19.2;39.6
1;21.1;15.8;177.5;72;19.4;40.5
1;20.1;15.4;170.5;56.8;21.8;34.1
1;22.1;16.3;182.4;74.5;20.6;43.5
1;23.6;18;197.1;90.9;23.6;44.1
1;23.3;16;180.1;93;22.4;42.2
1;25.9;18;175.5;80.9;21.2;42.2
1;21.3;16.5;180.6;72.7;20.6;43
1;22.1;16.7;184.4;68;19.3;39.8
1;20.7;16.2;175.5;70.9;20.2;37.7
1;21.6;16.6;180.6;72.5;20.2;39.6
1;22.6;17.3;177;72.5;19.7;43.2
1;23.1;17.3;177.1;83.4;21.2;44.3
1;21.9;16.4;181.6;75.5;19.4;43.3
1;22.3;16.6;176.5;73;19.2;42.8
1;22;17;175;70.2;19.1;41.5
1;20.3;16.5;174;73.4;19.7;42
1;21.1;16.3;165.1;70.5;20.1;41.2
1;21.2;16;177;68.9;18.2;43.8
1;24.6;18.6;192;102.3;25;46.2
1;22.7;16.2;176.5;68.4;19.8;40.4
1;21.5;16.2;169.4;65.9;17.8;40.8
1;24;16.5;182.1;75.7;22.3;43.9
1;23.2;17;179.8;84.5;21.6;44.2
1;25.3;17.7;175.3;87.7;24.2;41.6
1;24;17.8;184.9;86.4;21.6;38.1
1;22.5;17.5;177.3;73.2;18.1;42
1;21.2;14.6;167.4;53.9;18.2;37
1;21;16.4;178.1;72;18.1;41.6
1;20.9;16;168.9;55.5;17.1;40.1
1;20.8;16.4;157.2;58.4;19.1;38.7
1;26.3;18.1;180.3;83.2;22.3;37.4
1;23.1;16.7;170.2;72.7;19.4;41.7
1;21.3;15.6;177.8;64.1;18.2;38
1;22.3;18.4;172.7;72.3;19;40.5
1;23;16.3;165.1;65;17.7;35.6
1;23;16.1;186.7;86.4;21.8;43.6
1;23;17.1;165.1;65;17.7;37.6
1;25.6;18.3;174;88.6;22.8;41.1
1;23.7;18;175.3;84.1;22.1;42.1
1;16.4;16.1;185.4;66.8;19.4;40.5
1;24.5;17.3;177.8;75.5;21.1;40.9
1;25.1;17.7;180.3;93.2;23.3;43
1;22.8;18.2;180.3;82.7;21.8;40.5
1;20;15.3;177.8;58;14.4;41.9
1;24.6;18.1;177.8;79.5;20.2;42.1
1;25.8;17.6;177.8;78.6;18.7;43.8
1;20.6;16;177.8;71.8;19.4;42.1
1;27;19.2;177.8;116.4;23.5;43.4
1;22.2;16.3;163.8;72.2;21.4;38.7
1;23;17.4;188;83.6;18.2;39.6
1;27.5;17.9;198.1;85.5;21.6;43.4
1;24.2;17.6;175.3;90.9;22.1;40.5
1;21.6;18.3;166.4;85.9;21.1;40.3
1;25.8;19.5;190.5;89.1;22.1;44.2
1;23.2;16.3;166.4;75;21.4;41.3
1;23.4;17;177.8;77.7;23.5;39.8
1;24.5;17.1;179.7;86.4;25.2;41.3
1;25.3;17.5;172.7;90.9;22.5;38.9
1;23.2;17;190.5;73.6;23.3;41.1
1;24.6;18.4;185.4;76.4;21.1;41.5
1;23;16.8;168.9;69.1;19.7;38.5
1;22.9;18.1;167.6;84.5;23;39.4
1;21.2;16.2;175.3;64.5;20.2;40.9
1;23.6;18.5;170.2;69.1;21.8;41.1
1;24.7;18.2;190.5;108.6;27.5;43.6
1;25;19.6;177.8;86.4;22.5;39.8
1;25;17.7;190.5;80.9;20.2;42.1
1;24.9;17.6;177.8;87.7;24.9;41.1
1;23.7;18.1;184.2;94.5;21.6;44.2
1;24.5;17.1;176.5;80.2;20.4;38.9
1;22.9;17;177.8;72;18;40.1
1;22;15.5;180.3;71.4;18;38.7
1;21.3;16.4;171.4;72.7;19.2;35.6
1;23.8;17.1;172.7;84.1;21.4;40.5
1;23;18;172.7;76.8;21.6;41.1
1;22.1;16.3;177.8;63.6;18.2;38.7
1;22.7;16.8;177.8;80.9;20.4;38.9
1;22.5;17.4;182.9;80.9;22.3;39.4
1;24.6;17.1;170.2;85.5;20.2;37.6
1;20;16.5;167.6;68.6;19.4;39.8
1;22;17;175.3;67.7;20.4;40.3
1;23;16.4;165.1;66.4;18.7;40.3
1;25.4;18.4;185.4;102.3;24;43.8
1;23.1;16.3;181.6;70.5;18;41.1
1;24.8;17.1;172.7;95.9;24.9;41.7
1;24.9;17.9;190.5;84.1;20.9;45.4
1;26.1;19.5;179.1;87.3;22.1;43
1;24;17.3;175.3;71.8;19.2;41.1
1;21;16.6;170.2;65.9;19.7;41.1
1;27.7;18.1;193;95.9;22.5;45.2
1;23.5;16.8;171.4;91.4;23.5;39.8
1;21.6;17.3;177.8;81.8;20.2;39.6
1;26.4;17.9;177.8;96.8;25.4;42.3
1;22.8;17.3;167.6;69.1;20.2;40.9
1;23.2;16.5;167.6;82.7;23.3;39.8
1;23.8;18.2;180.3;75.5;17.3;42.3
1;23.7;18.3;182.9;79.5;25.4;42.3
1;22.8;15.9;176.5;73.6;22.1;40.5
1;25.8;18.8;186.7;91.8;23.7;42.7
1;29.3;18;188;84.1;20.4;43.6
1;22.6;17.1;188;85.9;19.4;42.5
1;22;17.1;177.8;81.8;22.5;41.3
1;26.4;18.1;174;82.5;22.5;41.3
1;24.3;18.7;177.8;80.5;23.3;42.3
1;21.8;16.3;171.4;70;19.9;36.9
1;24.5;17.3;185.4;81.8;19.2;40.3
1;23;17.5;185.4;84.1;21.4;40.1
1;24.2;17.9;188;90.5;23;43.2
1;24.4;16.8;188;91.4;25.4;45
1;23.9;17.1;182.9;89.1;23.5;42.1
1;24.3;17.7;176.5;85;23.7;40.9
1;21.2;16.7;175.3;69.1;20.2;41.3
1;23.7;17.5;175.3;73.6;24.9;42.1
1;22;17.7;188;80.5;19.9;45.2
1;22.6;17.5;188;82.7;22.1;42.1
1;22;18.1;175.3;86.4;22.4;41.2
1;22;16.4;170.5;67.7;19.2;41.7
1;22.7;16.4;179.1;92.7;24.7;43
1;25.7;18.8;177.8;93.6;23.5;41.7
1;23.5;17.1;175.3;70.9;22.8;38
1;25.6;17.9;182.9;75;19;41.9
1;25.7;15.9;170.8;93.2;19.4;40.7
1;24.3;17.2;188;93.2;22.8;41.3
1;21.7;17.1;180.3;77.7;21.6;40.9
1;23;16.2;177.8;61.4;19.7;41.7
1;24.3;17.4;185.4;94.1;26.4;41.3
1;22;17;168.9;75;21.1;41.1
1;21.3;16.6;185.4;83.6;19.9;43.4
1;23;17.5;180.3;85.5;21.1;40.7
1;22;17.2;174;73.9;20.9;42.5
1;22.4;16.7;167.6;66.8;18.2;40.3
1;22.9;17.9;182.9;87.3;22.3;39.8
1;21.8;17.5;160;72.3;19.7;39.8
1;24;17;180.3;88.6;21.4;40.5
1;23.6;17.5;167.6;75.5;20.2;41.1
1;25.7;17.1;186.7;101.4;23.5;42.5
1;26.9;17;175.3;91.1;19.9;42.5
1;22.5;17.9;175.3;67.3;18;38.5
1;26.2;17.8;175.9;77.7;19.9;43.8
1;23.4;16.7;175.3;81.8;21.4;41.5
1;23.7;16.6;179.1;75.5;20.6;40.3
1;27.7;18.1;181.6;84.5;20.6;40.3
1;25.3;17.7;177.8;76.6;20.2;42.1
1;25.2;17.4;182.9;85;20.6;42.1
1;24.1;17.1;177.8;102.5;24.2;38.9
1;20.3;15.8;184.2;77.3;20.6;44.4
1;24.5;17.1;179.1;71.8;18.7;40.9
1;22.6;17.5;176.5;87.9;25.2;42.1
1;25.5;18.9;188;94.3;25.2;43
1;22.5;16.4;174;70.9;20.6;38
1;21.3;15.1;167.6;64.5;17.7;37.1
1;23.3;16.7;170.2;77.3;21.6;41.1
1;22.7;16.6;167.6;72.3;19.7;40.9
1;23;17;188;87.3;21.6;38.9
1;23.5;18.1;174;80;23.7;40.9
1;22.1;17.1;176.5;82.3;23.7;39.2
1;21.4;16.3;180.3;73.6;19.9;41.7
1;22.5;17.8;167.6;74.1;24;39.4
1;23.4;19.6;188;85.9;21.8;40.1
1;23.3;17.3;180.3;73.2;21.1;38.9
1;22.6;17.3;167.6;76.3;21.6;38.9
1;23.7;18.4;183;65.9;20.2;41.7
1;25.5;19.4;183;90.9;22.1;43.2
1;25.1;18.9;179.1;89.1;23.7;40.5
1;23.1;18.3;170.2;62.3;19.7;39.2
1;23.5;17.3;177.8;82.7;20.6;40.9
1;21.1;16.3;179.1;79.1;21.8;41.7
1;24.3;16.7;190.5;98.2;25.4;43.8
1;25.4;18.1;177.8;84.1;26.4;41.9
1;27.7;18.4;180.3;83.2;21.4;43
1;25.2;17;180.3;83.2;19.7;41.5
0;21;13.5;161.2;51.6;16.2;37.6
0;22.5;15;167.5;59;16.8;36.7
0;19;14;159.5;49.2;16.4;34.8
0;23;15;157;63;19.3;36.6
0;19.9;14.5;155.8;53.6;18.2;35.5
0;23;14.5;170;59;15.1;37
0;19;13.9;159.1;47.6;15.4;35.5
0;22;16.8;166;69.8;18.8;37.4
0;21.6;15.2;176.2;66.8;18.6;37.8
0;22.6;16.3;160.2;75.2;19.7;38.6
0;19.9;13.8;172.5;55.2;15.5;37.6
0;20.5;15.3;170.9;54.2;15.4;36
0;20.9;14.4;172.9;62.5;17.3;39.5
0;17.9;13.2;153.4;42;16.9;34
0;19.1;13.8;160;50;18.3;35
0;21;14;147.2;49.8;16.2;35.6
0;18.5;14.5;168.2;49.2;14.6;36.2
0;23.8;17;175;73.2;19.6;39
0;19;13.2;157;47.8;15.3;32.6
0;20.6;15.9;167.6;68.8;19.1;37.6
0;22;13.8;159.5;50.6;15.4;36.3
0;23;16.6;175;82.5;21.3;38
0;19.4;14.5;166.8;57.2;15.1;37
0;24.2;17.6;176.5;87.8;19.9;42.6
0;23;16;170.2;72.8;19.6;37.5
0;20.9;15.2;174;54.5;15.8;36.1
0;21;15;173;59.8;17.2;39.1
0;21.3;15.6;179.9;67.3;18;39.6
0;21.3;15.6;170.5;67.8;17.4;40.5
0;20.5;14.5;160;47;16.1;35
0;20.5;14;154.4;46.2;18.6;34.5
0;20.1;14.9;162;55;15.6;35.6
0;23.3;15.9;176.5;83;20.1;39.1
0;20.5;14.4;160;54.4;14.3;36.6
0;20;14;152;45.8;16;34.8
0;20;15.6;162.1;53.6;16.7;36.7
0;22.3;16.1;170;73.2;19;39.7
0;21.2;14.6;160.2;52.1;15;35.5
0;21.5;15.3;161.3;67.9;17.3;36
0;21.9;15.2;166.4;56.6;17.3;35.8
0;20;15.1;168.9;62.3;18;37.6
