movie_title;actor_name;actor_fb_likes
Avatar;CCH Pounder;1000.0
Pirates of the Caribbean: At World's End;Johnny Depp;40000.0
Spectre;Christoph Waltz;11000.0
The Dark Knight Rises;Tom Hardy;27000.0
Star Wars: Episode VII - The Force Awakens;Doug Walker;131.0
John Carter;Daryl Sabara;640.0
Spider-Man 3;J.K. Simmons;24000.0
Tangled;Brad Garrett;799.0
Avengers: Age of Ultron;Chris Hemsworth;26000.0
Harry Potter and the Half-Blood Prince;Alan Rickman;25000.0
Batman v Superman: Dawn of Justice;Henry Cavill;15000.0
Superman Returns;Kevin Spacey;18000.0
Quantum of Solace;Giancarlo Giannini;451.0
Pirates of the Caribbean: Dead Man's Chest;Johnny Depp;40000.0
The Lone Ranger;Johnny Depp;40000.0
Man of Steel;Henry Cavill;15000.0
The Chronicles of Narnia: Prince Caspian;Peter Dinklage;22000.0
The Avengers;Chris Hemsworth;26000.0
Pirates of the Caribbean: On Stranger Tides;Johnny Depp;40000.0
Men in Black 3;Will Smith;10000.0
The Hobbit: The Battle of the Five Armies;Aidan Turner;5000.0
The Amazing Spider-Man;Emma Stone;15000.0
Robin Hood;Mark Addy;891.0
The Hobbit: The Desolation of Smaug;Aidan Turner;5000.0
The Golden Compass;Christopher Lee;16000.0
King Kong;Naomi Watts;6000.0
Titanic;Leonardo DiCaprio;29000.0
Captain America: Civil War;Robert Downey Jr.;21000.0
Battleship;Liam Neeson;14000.0
Jurassic World;Bryce Dallas Howard;3000.0
Skyfall;Albert Finney;883.0
Spider-Man 2;J.K. Simmons;24000.0
Iron Man 3;Robert Downey Jr.;21000.0
Alice in Wonderland;Johnny Depp;40000.0
X-Men: The Last Stand;Hugh Jackman;20000.0
Monsters University;Steve Buscemi;12000.0
Transformers: Revenge of the Fallen;Glenn Morshower;894.0
Transformers: Age of Extinction;Bingbing Li;974.0
Oz the Great and Powerful;Tim Holmes;44000.0
The Amazing Spider-Man 2;Emma Stone;15000.0
TRON: Legacy;Jeff Bridges;12000.0
Cars 2;Joe Mantegna;1000.0
Green Lantern;Ryan Reynolds;16000.0
Toy Story 3;Tom Hanks;15000.0
Terminator Salvation;Christian Bale;23000.0
Furious 7;Jason Statham;26000.0
World War Z;Peter Capaldi;17000.0
X-Men: Days of Future Past;Jennifer Lawrence;34000.0
Star Trek Into Darkness;Benedict Cumberbatch;19000.0
Jack the Giant Slayer;Eddie Marsan;979.0
The Great Gatsby;Leonardo DiCaprio;29000.0
Prince of Persia: The Sands of Time;Jake Gyllenhaal;15000.0
Pacific Rim;Charlie Hunnam;16000.0
Transformers: Dark of the Moon;Glenn Morshower;894.0
Indiana Jones and the Kingdom of the Crystal Skull;Harrison Ford;11000.0
The Good Dinosaur;A.J. Buckley;275.0
Brave;Kelly Macdonald;2000.0
Star Trek Beyond;Sofia Boutella;998.0
WALL·E;John Ratzenberger;1000.0
Rush Hour 3;Tzi Ma;268.0
2012;Oliver Platt;1000.0
A Christmas Carol;Robin Wright;18000.0
Jupiter Ascending;Channing Tatum;17000.0
The Legend of Tarzan;Christoph Waltz;11000.0
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;Jim Broadbent;1000.0
X-Men: Apocalypse;Jennifer Lawrence;34000.0
The Dark Knight;Christian Bale;23000.0
Up;John Ratzenberger;1000.0
Monsters vs. Aliens;Amy Poehler;1000.0
Iron Man;Robert Downey Jr.;21000.0
Hugo;Chloë Grace Moretz;17000.0
Wild Wild West;Will Smith;10000.0
The Mummy: Tomb of the Dragon Emperor;Jet Li;5000.0
Suicide Squad;Will Smith;10000.0
Evan Almighty;Jimmy Bennett;87000.0
Edge of Tomorrow;Tom Cruise;10000.0
Waterworld;Jeanne Tripplehorn;711.0
G.I. Joe: The Rise of Cobra;Joseph Gordon-Levitt;23000.0
Inside Out;Amy Poehler;1000.0
The Jungle Book;Scarlett Johansson;19000.0
Iron Man 2;Robert Downey Jr.;21000.0
Snow White and the Huntsman;Chris Hemsworth;26000.0
