movie_title;title_year;country;language;duration;director_name;budget;gross
Avatar;2009.0;USA;English;178.0;James Cameron;237000000.0;760505847.0
Pirates of the Caribbean: At World's End;2007.0;USA;English;169.0;Gore Verbinski;300000000.0;309404152.0
Spectre;2015.0;UK;English;148.0;Sam Mendes;245000000.0;200074175.0
The Dark Knight Rises;2012.0;USA;English;164.0;Christopher Nolan;250000000.0;448130642.0
Star Wars: Episode VII - The Force Awakens;;;;;Doug Walker;;
John Carter;2012.0;USA;English;132.0;Andrew Stanton;263700000.0;73058679.0
Spider-Man 3;2007.0;USA;English;156.0;Sam Raimi;258000000.0;336530303.0
Tangled;2010.0;USA;English;100.0;Nathan Greno;260000000.0;200807262.0
Avengers: Age of Ultron;2015.0;USA;English;141.0;Joss Whedon;250000000.0;458991599.0
Harry Potter and the Half-Blood Prince;2009.0;UK;English;153.0;David Yates;250000000.0;301956980.0
Batman v Superman: Dawn of Justice;2016.0;USA;English;183.0;Zack Snyder;250000000.0;330249062.0
Superman Returns;2006.0;USA;English;169.0;Bryan Singer;209000000.0;200069408.0
Quantum of Solace;2008.0;UK;English;106.0;Marc Forster;200000000.0;168368427.0
Pirates of the Caribbean: Dead Man's Chest;2006.0;USA;English;151.0;Gore Verbinski;225000000.0;423032628.0
The Lone Ranger;2013.0;USA;English;150.0;Gore Verbinski;215000000.0;89289910.0
Man of Steel;2013.0;USA;English;143.0;Zack Snyder;225000000.0;291021565.0
The Chronicles of Narnia: Prince Caspian;2008.0;USA;English;150.0;Andrew Adamson;225000000.0;141614023.0
The Avengers;2012.0;USA;English;173.0;Joss Whedon;220000000.0;623279547.0
Pirates of the Caribbean: On Stranger Tides;2011.0;USA;English;136.0;Rob Marshall;250000000.0;241063875.0
Men in Black 3;2012.0;USA;English;106.0;Barry Sonnenfeld;225000000.0;179020854.0
The Hobbit: The Battle of the Five Armies;2014.0;New Zealand;English;164.0;Peter Jackson;250000000.0;255108370.0
The Amazing Spider-Man;2012.0;USA;English;153.0;Marc Webb;230000000.0;262030663.0
Robin Hood;2010.0;USA;English;156.0;Ridley Scott;200000000.0;105219735.0
The Hobbit: The Desolation of Smaug;2013.0;USA;English;186.0;Peter Jackson;225000000.0;258355354.0
The Golden Compass;2007.0;USA;English;113.0;Chris Weitz;180000000.0;70083519.0
King Kong;2005.0;New Zealand;English;201.0;Peter Jackson;207000000.0;218051260.0
Titanic;1997.0;USA;English;194.0;James Cameron;200000000.0;658672302.0
Captain America: Civil War;2016.0;USA;English;147.0;Anthony Russo;250000000.0;407197282.0
Battleship;2012.0;USA;English;131.0;Peter Berg;209000000.0;65173160.0
Jurassic World;2015.0;USA;English;124.0;Colin Trevorrow;150000000.0;652177271.0
Skyfall;2012.0;UK;English;143.0;Sam Mendes;200000000.0;304360277.0
Spider-Man 2;2004.0;USA;English;135.0;Sam Raimi;200000000.0;373377893.0
Iron Man 3;2013.0;USA;English;195.0;Shane Black;200000000.0;408992272.0
Alice in Wonderland;2010.0;USA;English;108.0;Tim Burton;200000000.0;334185206.0
X-Men: The Last Stand;2006.0;Canada;English;104.0;Brett Ratner;210000000.0;234360014.0
Monsters University;2013.0;USA;English;104.0;Dan Scanlon;200000000.0;268488329.0
Transformers: Revenge of the Fallen;2009.0;USA;English;150.0;Michael Bay;200000000.0;402076689.0
Transformers: Age of Extinction;2014.0;USA;English;165.0;Michael Bay;210000000.0;245428137.0
Oz the Great and Powerful;2013.0;USA;English;130.0;Sam Raimi;215000000.0;234903076.0
The Amazing Spider-Man 2;2014.0;USA;English;142.0;Marc Webb;200000000.0;202853933.0
TRON: Legacy;2010.0;USA;English;125.0;Joseph Kosinski;170000000.0;172051787.0
Cars 2;2011.0;USA;English;106.0;John Lasseter;200000000.0;191450875.0
Green Lantern;2011.0;USA;English;123.0;Martin Campbell;200000000.0;116593191.0
Toy Story 3;2010.0;USA;English;103.0;Lee Unkrich;200000000.0;414984497.0
Terminator Salvation;2009.0;USA;English;118.0;McG;200000000.0;125320003.0
Furious 7;2015.0;USA;English;140.0;James Wan;190000000.0;350034110.0
World War Z;2013.0;USA;English;123.0;Marc Forster;190000000.0;202351611.0
X-Men: Days of Future Past;2014.0;USA;English;149.0;Bryan Singer;200000000.0;233914986.0
Star Trek Into Darkness;2013.0;USA;English;132.0;J.J. Abrams;190000000.0;228756232.0
Jack the Giant Slayer;2013.0;USA;English;114.0;Bryan Singer;195000000.0;65171860.0
The Great Gatsby;2013.0;Australia;English;143.0;Baz Luhrmann;105000000.0;144812796.0
Prince of Persia: The Sands of Time;2010.0;USA;English;116.0;Mike Newell;200000000.0;90755643.0
Pacific Rim;2013.0;USA;English;131.0;Guillermo del Toro;190000000.0;101785482.0
Transformers: Dark of the Moon;2011.0;USA;English;154.0;Michael Bay;195000000.0;352358779.0
Indiana Jones and the Kingdom of the Crystal Skull;2008.0;USA;English;122.0;Steven Spielberg;185000000.0;317011114.0
The Good Dinosaur;2015.0;USA;English;93.0;Peter Sohn;;123070338.0
Brave;2012.0;USA;English;93.0;Mark Andrews;185000000.0;237282182.0
Star Trek Beyond;2016.0;USA;English;122.0;Justin Lin;185000000.0;130468626.0
WALL·E;2008.0;USA;English;98.0;Andrew Stanton;180000000.0;223806889.0
Rush Hour 3;2007.0;USA;English;91.0;Brett Ratner;140000000.0;140080850.0
2012;2009.0;USA;English;158.0;Roland Emmerich;200000000.0;166112167.0
A Christmas Carol;2009.0;USA;English;96.0;Robert Zemeckis;200000000.0;137850096.0
Jupiter Ascending;2015.0;USA;English;127.0;Lana Wachowski;176000000.0;47375327.0
The Legend of Tarzan;2016.0;USA;English;110.0;David Yates;180000000.0;124051759.0
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;2005.0;USA;English;150.0;Andrew Adamson;180000000.0;291709845.0
X-Men: Apocalypse;2016.0;USA;English;144.0;Bryan Singer;178000000.0;154985087.0
The Dark Knight;2008.0;USA;English;152.0;Christopher Nolan;185000000.0;533316061.0
Up;2009.0;USA;English;96.0;Pete Docter;175000000.0;292979556.0
Monsters vs. Aliens;2009.0;USA;English;94.0;Rob Letterman;175000000.0;198332128.0
Iron Man;2008.0;USA;English;126.0;Jon Favreau;140000000.0;318298180.0
Hugo;2011.0;USA;English;126.0;Martin Scorsese;170000000.0;73820094.0
Wild Wild West;1999.0;USA;English;106.0;Barry Sonnenfeld;170000000.0;113745408.0
The Mummy: Tomb of the Dragon Emperor;2008.0;USA;English;112.0;Rob Cohen;145000000.0;102176165.0
Suicide Squad;2016.0;USA;English;123.0;David Ayer;175000000.0;161087183.0
Evan Almighty;2007.0;USA;English;96.0;Tom Shadyac;175000000.0;100289690.0
Edge of Tomorrow;2014.0;USA;English;113.0;Doug Liman;178000000.0;100189501.0
Waterworld;1995.0;USA;English;176.0;Kevin Reynolds;175000000.0;88246220.0
G.I. Joe: The Rise of Cobra;2009.0;USA;English;118.0;Stephen Sommers;175000000.0;150167630.0
Inside Out;2015.0;USA;English;95.0;Pete Docter;175000000.0;356454367.0
The Jungle Book;2016.0;UK;English;106.0;Jon Favreau;175000000.0;362645141.0
Iron Man 2;2010.0;USA;English;124.0;Jon Favreau;200000000.0;312057433.0
Snow White and the Huntsman;2012.0;USA;English;132.0;Rupert Sanders;170000000.0;155111815.0
Maleficent;2014.0;USA;English;97.0;Robert Stromberg;180000000.0;241407328.0
Dawn of the Planet of the Apes;2014.0;USA;English;130.0;Matt Reeves;170000000.0;208543795.0
The Lovers;2015.0;Belgium;English;109.0;Roland Joffé;;
47 Ronin;2013.0;USA;English;128.0;Carl Rinsch;175000000.0;38297305.0
Captain America: The Winter Soldier;2014.0;USA;English;136.0;Anthony Russo;170000000.0;259746958.0
Shrek Forever After;2010.0;USA;English;93.0;Mike Mitchell;165000000.0;238371987.0
Tomorrowland;2015.0;USA;English;130.0;Brad Bird;190000000.0;93417865.0
Big Hero 6;2014.0;USA;English;102.0;Don Hall;165000000.0;222487711.0
Wreck-It Ralph;2012.0;USA;English;101.0;Rich Moore;165000000.0;189412677.0
The Polar Express;2004.0;USA;English;100.0;Robert Zemeckis;165000000.0;665426.0
Independence Day: Resurgence;2016.0;USA;English;120.0;Roland Emmerich;165000000.0;102315545.0
How to Train Your Dragon;2010.0;USA;English;98.0;Dean DeBlois;165000000.0;217387997.0
Terminator 3: Rise of the Machines;2003.0;USA;English;109.0;Jonathan Mostow;200000000.0;150350192.0
Guardians of the Galaxy;2014.0;USA;English;121.0;James Gunn;170000000.0;333130696.0
Interstellar;2014.0;USA;English;169.0;Christopher Nolan;165000000.0;187991439.0
Inception;2010.0;USA;English;148.0;Christopher Nolan;160000000.0;292568851.0
Godzilla Resurgence;2016.0;Japan;Japanese;120.0;Hideaki Anno;;
The Hobbit: An Unexpected Journey;2012.0;USA;English;182.0;Peter Jackson;180000000.0;303001229.0
