movie_title;imdb_score;movie_facebook_likes
Avatar;7.9;33000
Pirates of the Caribbean: At World's End;7.1;0
Spectre;6.8;85000
The Dark Knight Rises;8.5;164000
Star Wars: Episode VII - The Force Awakens;7.1;0
John Carter;6.6;24000
Spider-Man 3;6.2;0
Tangled;7.8;29000
Avengers: Age of Ultron;7.5;118000
Harry Potter and the Half-Blood Prince;7.5;10000
Batman v Superman: Dawn of Justice;6.9;197000
Superman Returns;6.1;0
Quantum of Solace;6.7;0
Pirates of the Caribbean: Dead Man's Chest;7.3;5000
The Lone Ranger;6.5;48000
Man of Steel;7.2;118000
The Chronicles of Narnia: Prince Caspian;6.6;0
The Avengers;8.1;123000
Pirates of the Caribbean: On Stranger Tides;6.7;58000
Men in Black 3;6.8;40000
The Hobbit: The Battle of the Five Armies;7.5;65000
The Amazing Spider-Man;7.0;56000
Robin Hood;6.7;17000
The Hobbit: The Desolation of Smaug;7.9;83000
The Golden Compass;6.1;0
King Kong;7.2;0
Titanic;7.7;26000
Captain America: Civil War;8.2;72000
Battleship;5.9;44000
Jurassic World;7.0;150000
Skyfall;7.8;80000
Spider-Man 2;7.3;0
Iron Man 3;7.2;95000
Alice in Wonderland;6.5;24000
X-Men: The Last Stand;6.8;0
Monsters University;7.3;44000
Transformers: Revenge of the Fallen;6.0;0
Transformers: Age of Extinction;5.7;56000
Oz the Great and Powerful;6.4;60000
The Amazing Spider-Man 2;6.7;41000
TRON: Legacy;6.8;30000
Cars 2;6.3;10000
Green Lantern;5.6;24000
Toy Story 3;8.3;30000
Terminator Salvation;6.6;0
Furious 7;7.2;94000
World War Z;7.0;129000
X-Men: Days of Future Past;8.0;82000
Star Trek Into Darkness;7.8;92000
Jack the Giant Slayer;6.3;22000
The Great Gatsby;7.3;115000
Prince of Persia: The Sands of Time;6.6;23000
Pacific Rim;7.0;83000
Transformers: Dark of the Moon;6.3;46000
Indiana Jones and the Kingdom of the Crystal Skull;6.2;5000
The Good Dinosaur;6.8;20000
Brave;7.2;39000
Star Trek Beyond;7.5;30000
WALL·E;8.4;16000
Rush Hour 3;6.2;0
2012;5.8;13000
A Christmas Carol;6.8;0
Jupiter Ascending;5.4;44000
The Legend of Tarzan;6.6;29000
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;6.9;0
X-Men: Apocalypse;7.3;54000
The Dark Knight;9.0;37000
Up;8.3;27000
Monsters vs. Aliens;6.5;0
Iron Man;7.9;10000
Hugo;7.5;42000
Wild Wild West;4.8;0
The Mummy: Tomb of the Dragon Emperor;5.2;0
Suicide Squad;6.9;80000
Evan Almighty;5.4;2000
Edge of Tomorrow;7.9;77000
Waterworld;6.1;0
G.I. Joe: The Rise of Cobra;5.8;0
Inside Out;8.3;118000
The Jungle Book;7.8;65000
Iron Man 2;7.0;18000
Snow White and the Huntsman;6.1;53000
Maleficent;7.0;89000
Dawn of the Planet of the Apes;7.6;45000
The Lovers;4.5;677
47 Ronin;6.3;35000
Captain America: The Winter Soldier;7.8;55000
Shrek Forever After;6.4;0
Tomorrowland;6.5;37000
Big Hero 6;7.9;41000
Wreck-It Ralph;7.8;40000
The Polar Express;6.6;10000
Independence Day: Resurgence;5.5;67000
How to Train Your Dragon;8.2;33000
Terminator 3: Rise of the Machines;6.4;0
Guardians of the Galaxy;8.1;96000
Interstellar;8.6;349000
Inception;8.8;175000
Godzilla Resurgence;8.2;0
The Hobbit: An Unexpected Journey;7.9;166000
The Fast and the Furious;6.7;14000
The Curious Case of Benjamin Button;7.8;23000
X-Men: First Class;7.8;54000
The Hunger Games: Mockingjay - Part 2;6.6;38000
The Sorcerer's Apprentice;6.1;11000
Poseidon;5.6;0
Alice Through the Looking Glass;6.4;30000
Shrek the Third;6.1;0
Warcraft;7.3;89000
Terminator Genisys;6.6;82000
The Chronicles of Narnia: The Voyage of the Dawn Treader;6.3;11000
Pearl Harbor;6.1;0
Transformers;7.1;8000
Alexander;5.5;0
Harry Potter and the Order of the Phoenix;7.5;0
Harry Potter and the Goblet of Fire;7.6;0
Hancock;6.4;0
I Am Legend;7.2;11000
Charlie and the Chocolate Factory;6.7;0
Ratatouille;8.0;10000
Batman Begins;8.3;15000
Madagascar: Escape 2 Africa;6.7;0
Night at the Museum: Battle of the Smithsonian;5.9;2000
X-Men Origins: Wolverine;6.7;0
The Matrix Revolutions;6.7;0
Frozen;7.6;58000
The Matrix Reloaded;7.2;0
Thor: The Dark World;7.1;63000
Mad Max: Fury Road;8.1;191000
Angels & Demons;6.7;0
Thor;7.0;63000
Bolt;6.9;0
G-Force;5.1;0
Wrath of the Titans;5.8;19000
Dark Shadows;6.2;82000
Mission: Impossible - Rogue Nation;7.4;47000
The Wolfman;5.8;0
The Legend of Tarzan;6.6;29000
Bee Movie;6.2;0
Kung Fu Panda 2;7.3;20000
The Last Airbender;4.2;18000
Mission: Impossible III;6.9;0
White House Down;6.4;33000
Mars Needs Moms;5.4;0
Flushed Away;6.7;0
Pan;5.8;24000
Mr. Peabody & Sherman;6.9;11000
Troy;7.2;0
Madagascar 3: Europe's Most Wanted;6.9;17000
Die Another Day;6.1;0
Ghostbusters;5.5;62000
Armageddon;6.6;11000
Men in Black II;6.1;2000
Beowulf;6.3;3000
Kung Fu Panda 3;7.2;24000
Mission: Impossible - Ghost Protocol;7.4;35000
Rise of the Guardians;7.3;25000
Fun with Dick and Jane;6.1;2000
The Last Samurai;7.7;0
Exodus: Gods and Kings;6.1;51000
Star Trek;8.0;19000
Spider-Man;7.3;5000
How to Train Your Dragon 2;7.9;46000
Gods of Egypt;5.5;24000
Stealth;5.0;0
Watchmen;7.7;18000
Lethal Weapon 4;6.6;0
Hulk;5.7;0
G.I. Joe: Retaliation;5.8;42000
Sahara;6.0;0
Final Fantasy: The Spirits Within;6.4;0
Captain America: The First Avenger;6.9;46000
The World Is Not Enough;6.4;2000
Master and Commander: The Far Side of the World;7.4;0
The Twilight Saga: Breaking Dawn - Part 2;5.5;65000
Happy Feet 2;5.9;0
The Incredible Hulk;6.8;0
Miami Vice;7.5;0
The BFG;6.8;27000
The Revenant;8.1;190000
Turbo;6.5;13000
Rango;7.2;26000
Penguins of Madagascar;6.7;11000
The Bourne Ultimatum;8.1;0
Kung Fu Panda;7.6;6000
Ant-Man;7.4;61000
The Hunger Games: Catching Fire;7.6;82000
The Twilight Saga: Breaking Dawn - Part 2;5.5;65000
Home;6.7;26000
War of the Worlds;6.5;0
Bad Boys II;6.6;0
Puss in Boots;6.7;16000
Salt;6.4;23000
Noah;5.8;71000
The Adventures of Tintin;7.4;44000
Harry Potter and the Prisoner of Azkaban;7.8;11000
Australia;6.6;0
After Earth;4.9;37000
Dinosaur;6.5;0
Harry Potter and the Deathly Hallows: Part II;7.5;40
Night at the Museum: Secret of the Tomb;6.2;11000
Megamind;7.3;13000
Harry Potter and the Sorcerer's Stone;7.5;16000
R.I.P.D.;5.6;20000
Godzilla Resurgence;8.2;0
Pirates of the Caribbean: The Curse of the Black Pearl;8.1;10000
Harry Potter and the Deathly Hallows: Part I;6.4;25
The Hunger Games: Mockingjay - Part 1;6.7;52000
The Da Vinci Code;6.6;0
Rio 2;6.4;0
X-Men 2;7.5;0
Fast Five;7.3;54000
Sherlock Holmes: A Game of Shadows;7.5;39000
Clash of the Titans;5.8;15000
Total Recall;7.5;0
The 13th Warrior;6.6;0
The Bourne Legacy;6.7;31000
Batman & Robin;3.7;0
How the Grinch Stole Christmas;6.0;0
The Day After Tomorrow;6.4;19000
Mission: Impossible II;6.1;0
The Perfect Storm;6.4;0
Fantastic 4: Rise of the Silver Surfer;5.6;0
Life of Pi;8.0;122000
Ghost Rider;5.2;0
Jason Bourne;7.1;31000
Charlie's Angels: Full Throttle;4.8;0
Prometheus;7.0;97000
Stuart Little 2;5.4;459
Elysium;6.6;61000
The Chronicles of Riddick;6.7;0
RoboCop;6.2;60000
Speed Racer;6.1;0
How Do You Know;5.3;0
Knight and Day;6.3;11000
Oblivion;7.0;71000
Star Wars: Episode III - Revenge of the Sith;7.6;10000
Star Wars: Episode II - Attack of the Clones;6.7;0
Monsters, Inc.;8.1;0
The Wolverine;6.7;68000
Star Wars: Episode I - The Phantom Menace;6.5;13000
The Croods;7.3;28000
Asterix at the Olympic Games;5.1;291
Windtalkers;6.0;0
The Huntsman: Winter's War;6.1;16000
Teenage Mutant Ninja Turtles;5.9;62000
Gravity;7.8;147000
Dante's Peak;5.8;0
Teenage Mutant Ninja Turtles: Out of the Shadows;6.3;12000
Fantastic Four;4.3;41000
Night at the Museum;6.4;3000
San Andreas;6.1;52000
Tomorrow Never Dies;6.5;0
The Patriot;7.1;4000
Ocean's Twelve;6.4;0
Mr. & Mrs. Smith;6.5;0
Insurgent;6.3;27000
The Aviator;7.5;0
Gulliver's Travels;4.9;0
The Green Hornet;5.8;14000
The A-Team;7.6;0
300: Rise of an Empire;6.2;71000
The Smurfs;5.5;31000
Home on the Range;5.4;304
Allegiant;5.8;12000
Real Steel;7.1;36000
The Smurfs 2;5.4;0
Speed 2: Cruise Control;3.7;894
Ender's Game;6.7;123000
Live Free or Die Hard;7.2;0
The Lord of the Rings: The Fellowship of the Ring;8.8;21000
Around the World in 80 Days;5.8;0
Ali;6.8;0
The Cat in the Hat;3.8;946
I, Robot;7.1;0
Kingdom of Heaven;7.2;0
Stuart Little;5.9;0
The Princess and the Frog;7.1;5000
The Martian;8.1;153000
10,000 B.C.;7.2;0
The Island;6.9;0
Town & Country;4.4;53
Gone in Sixty Seconds;6.5;0
Gladiator;8.5;21000
Minority Report;7.7;0
Harry Potter and the Chamber of Secrets;7.4;0
Casino Royale;8.0;0
Planet of the Apes;5.7;0
Terminator 2: Judgment Day;8.5;13000
Public Enemies;7.0;0
American Gangster;7.8;0
True Lies;7.2;0
The Taking of Pelham 1 2 3;6.4;0
Little Fockers;5.5;0
The Other Guys;6.7;16000
Eraser;6.1;0
Django Unchained;8.5;199000
The Hunchback of Notre Dame;6.9;0
The Emperor's New Groove;7.3;0
The Expendables 2;6.7;108000
National Treasure;6.9;0
Eragon;5.1;0
Where the Wild Things Are;6.8;11000
Pan;5.8;24000
Epic;6.7;17000
The Tourist;6.0;25000
End of Days;5.7;2000
Blood Diamond;8.0;14000
The Wolf of Wall Street;8.2;138000
Batman Forever;5.4;0
Starship Troopers;7.2;0
Cloud Atlas;7.5;124000
Legend of the Guardians: The Owls of Ga'Hoole;7.0;16000
Catwoman;3.3;0
Hercules;6.0;21000
Treasure Planet;7.1;0
Land of the Lost;5.4;0
The Expendables 3;6.1;56000
Point Break;5.3;37000
Son of the Mask;2.2;881
