movie_title;actor_name;actor_fb_likes
Snatch;Jason Statham;26000.0
Snatch;Brad Pitt;11000.0
Snatch;Jason Flemyng;1000.0
Alice in Wonderland;Johnny Depp;40000.0
Alice in Wonderland;Alan Rickman;25000.0
Alice in Wonderland;Anne Hathaway;11000.0
District B13;David Belle;510.0
District B13;Cyril Raffaelli;297.0
District B13;Dany Verissimo-Petit;58.0
Metropolis;Brigitte Helm;136.0
Metropolis;Gustav Fröhlich;23.0
Metropolis;Rudolf Klein-Rogge;18.0
The Puffy Chair;Mark Duplass;830.0
The Puffy Chair;Katie Aselton;224.0
The Puffy Chair;Bari Hyman;10.0
The League of Extraordinary Gentlemen;Jason Flemyng;1000.0
The League of Extraordinary Gentlemen;Max Ryan;872.0
The League of Extraordinary Gentlemen;Tony Curran;845.0
The Damned United;Stephen Graham;1000.0
The Damned United;Mark Bazeley;54.0
The Damned United;Maurice Roëves;27.0
Joe Dirt;Brittany Daniel;861.0
Joe Dirt;Erik Per Sullivan;593.0
Joe Dirt;Fred Ward;459.0
Joyeux Noel;Gary Lewis;203.0
Joyeux Noel;Dany Boon;172.0
Joyeux Noel;Ian Richardson;140.0
Mr 3000;Bernie Mac;1000.0
Mr 3000;Chris Noth;962.0
Mr 3000;Paul Sorvino;635.0
Thor: The Dark World;Chris Hemsworth;26000.0
Thor: The Dark World;Natalie Portman;20000.0
Thor: The Dark World;Anthony Hopkins;12000.0
The Pink Panther;Roger Rees;1000.0
The Pink Panther;Henry Czerny;177.0
The Pink Panther;William Abadie;38.0
Casino Royale;Eva Green;6000.0
Casino Royale;Tobias Menzies;1000.0
Casino Royale;Ivana Milicevic;834.0
The Karate Kid;Martin Kove;668.0
The Karate Kid;William Zabka;641.0
The Karate Kid;William Bassett;225.0
I Am Love;Flavio Parenti;144.0
I Am Love;Waris Ahluwalia;110.0
I Am Love;Alba Rohrwacher;72.0
King Kong;Naomi Watts;6000.0
King Kong;Thomas Kretschmann;919.0
King Kong;Thomas Kretschmann;918.0
King Kong;Evan Parke;84.0
Jack and Jill;Al Pacino;14000.0
Jack and Jill;Adam Sandler;11000.0
Jack and Jill;Tim Meadows;553.0
Cavite;Ian Gamazon;0.0
Cavite;Edgar Tancangco;0.0
Cavite;Quynn Ton;0.0
Teenage Mutant Ninja Turtles III;Paige Turco;533.0
Teenage Mutant Ninja Turtles III;John Aylward;219.0
Teenage Mutant Ninja Turtles III;Matt Hill;199.0
Semi-Pro;Will Ferrell;8000.0
Semi-Pro;Maura Tierney;509.0
Semi-Pro;Matt Walsh;490.0
