year;month;day;level_3;air_time;arr_delay;arr_time;carrier;dep_delay;dep_time;dest;distance;flight;hour;minute;origin;sched_arr_time;sched_dep_time;tailnum;time_hour
2013;1;1;135;160.0;51.0;1136.0;AA;71.0;826.0;MIA;1089;443;7;15;JFK;1045;715;N3GVAA;2013-01-01 07:00:00
2013;1;1;3;183.0;-18.0;1004.0;B6;-1.0;544.0;BQN;1576;725;5;45;JFK;1022;545;N804JB;2013-01-01 05:00:00
2013;1;1;639;154.0;138.0;2008.0;MQ;103.0;1803.0;BNA;764;4622;16;20;LGA;1750;1620;N504MQ;2013-01-01 16:00:00
2013;1;1;505;41.0;-33.0;1701.0;9E;-6.0;1554.0;BOS;187;3331;16;0;JFK;1734;1600;N931XJ;2013-01-01 16:00:00
2013;1;1;327;137.0;5.0;1410.0;WN;-2.0;1238.0;MKE;738;564;12;40;LGA;1405;1240;N297WN;2013-01-01 12:00:00
2013;1;1;174;246.0;9.0;1134.0;UA;23.0;906.0;DEN;1605;1643;8;43;EWR;1125;843;N17139;2013-01-01 08:00:00
2013;1;1;716;332.0;21.0;2259.0;DL;25.0;1925.0;LAX;2475;87;19;0;JFK;2238;1900;N624AG;2013-01-01 19:00:00
2013;1;1;605;360.0;-3.0;2052.0;UA;11.0;1729.0;SFO;2565;1284;17;18;EWR;2055;1718;N14120;2013-01-01 17:00:00
2013;1;1;65;156.0;1.0;1008.0;B6;-1.0;659.0;FLL;1069;981;7;0;JFK;1007;700;N646JB;2013-01-01 07:00:00
2013;1;1;826;24.0;49.0;2342.0;EV;62.0;2302.0;BDL;116;4276;22;0;EWR;2253;2200;N13903;2013-01-01 22:00:00
2013;1;1;420;141.0;-27.0;1728.0;AA;-8.0;1442.0;MCO;944;1813;14;50;JFK;1755;1450;N5FMAA;2013-01-01 14:00:00
2013;1;1;465;145.0;7.0;1830.0;DL;6.0;1521.0;MCO;950;507;15;15;LGA;1823;1515;N378NW;2013-01-01 15:00:00
2013;1;1;548;48.0;13.0;1740.0;EV;14.0;1631.0;DCA;199;4299;16;17;EWR;1727;1617;N14972;2013-01-01 16:00:00
2013;1;1;452;130.0;3.0;1748.0;MQ;-3.0;1507.0;IND;665;4309;15;10;JFK;1745;1510;N803MQ;2013-01-01 15:00:00
2013;1;1;680;361.0;78.0;2238.0;AA;63.0;1848.0;SFO;2586;177;17;45;JFK;2120;1745;N332AA;2013-01-01 17:00:00
2013;1;1;674;149.0;8.0;2144.0;UA;13.0;1842.0;FLL;1065;1292;18;29;EWR;2136;1829;N14214;2013-01-01 18:00:00
2013;1;1;839;;;;AA;;;DFW;1389;791;19;35;LGA;2240;1935;N3EHAA;2013-01-01 19:00:00
2013;1;1;271;256.0;34.0;1410.0;UA;13.0;1123.0;DEN;1620;405;11;10;LGA;1336;1110;N587UA;2013-01-01 11:00:00
2013;1;1;480;103.0;-4.0;1733.0;US;-1.0;1529.0;CLT;544;1665;15;30;LGA;1737;1530;N738US;2013-01-01 15:00:00
2013;1;1;147;88.0;-8.0;1027.0;MQ;-11.0;839.0;CLE;419;4558;8;50;LGA;1035;850;N711MQ;2013-01-01 08:00:00
2013;1;1;308;142.0;24.0;1501.0;EV;-2.0;1203.0;ATL;746;3850;12;5;EWR;1437;1205;N13978;2013-01-01 12:00:00
2013;1;1;834;222.0;456.0;314.0;EV;379.0;2343.0;MCI;1092;4321;17;24;EWR;1938;1724;N21197;2013-01-01 17:00:00
2013;1;1;446;156.0;-4.0;1802.0;UA;2.0;1502.0;FLL;1065;456;15;0;EWR;1806;1500;N406UA;2013-01-01 15:00:00
2013;1;1;343;38.0;-8.0;1401.0;US;-5.0;1255.0;BOS;184;2128;13;0;LGA;1409;1300;N957UW;2013-01-01 13:00:00
2013;1;1;816;143.0;21.0;58.0;B6;24.0;2209.0;PBI;1028;35;21;45;JFK;37;2145;N608JB;2013-01-01 21:00:00
2013;1;1;219;151.0;-6.0;1313.0;DL;-3.0;959.0;FLL;1076;2379;10;2;LGA;1319;1002;N965DL;2013-01-01 10:00:00
2013;1;1;56;161.0;-18.0;1002.0;DL;-5.0;655.0;MIA;1096;2003;7;0;LGA;1020;700;N997DL;2013-01-01 07:00:00
2013;1;1;514;309.0;-28.0;1844.0;DL;-6.0;1559.0;LAS;2248;91;16;5;JFK;1912;1605;N374DA;2013-01-01 16:00:00
2013;1;1;22;152.0;-12.0;858.0;AA;-4.0;606.0;MIA;1085;1895;6;10;EWR;910;610;N633AA;2013-01-01 06:00:00
2013;1;1;715;52.0;-13.0;2037.0;EV;-5.0;1925.0;IAD;229;5742;19;30;LGA;2050;1930;N833AS;2013-01-01 19:00:00
2013;1;1;546;121.0;67.0;1902.0;EV;42.0;1630.0;CVG;569;4352;15;48;EWR;1755;1548;N22909;2013-01-01 15:00:00
2013;1;1;412;149.0;26.0;1718.0;UA;31.0;1430.0;PBI;1023;278;13;59;EWR;1652;1359;N563UA;2013-01-01 13:00:00
2013;1;1;356;163.0;27.0;1622.0;AA;26.0;1306.0;MIA;1089;2041;12;40;JFK;1555;1240;N5DMAA;2013-01-01 12:00:00
2013;1;1;321;160.0;-6.0;1520.0;B6;-7.0;1222.0;TPA;1005;27;12;29;JFK;1526;1229;N192JB;2013-01-01 12:00:00
2013;1;1;572;362.0;-5.0;2025.0;VX;0.0;1655.0;LAX;2475;413;16;55;JFK;2030;1655;N626VA;2013-01-01 16:00:00
2013;1;1;667;137.0;7.0;2027.0;MQ;-6.0;1834.0;ORD;719;3730;18;40;EWR;2020;1840;N517MQ;2013-01-01 18:00:00
2013;1;1;117;149.0;-28.0;1100.0;DL;-5.0;810.0;PBI;1035;2395;8;15;LGA;1128;815;N349NW;2013-01-01 08:00:00
2013;1;1;46;91.0;-11.0;837.0;US;-2.0;643.0;CLT;529;926;6;45;EWR;848;645;N178US;2013-01-01 06:00:00
2013;1;1;78;338.0;-10.0;1020.0;AS;-1.0;724.0;SEA;2402;11;7;25;EWR;1030;725;N594AS;2013-01-01 07:00:00
2013;1;1;91;358.0;7.0;1107.0;AA;13.0;743.0;LAX;2475;33;7;30;JFK;1100;730;N338AA;2013-01-01 07:00:00
2013;1;1;587;149.0;68.0;2005.0;B6;71.0;1711.0;PBI;1035;369;16;0;LGA;1857;1600;N579JB;2013-01-01 16:00:00
2013;1;1;658;106.0;14.0;2046.0;US;-4.0;1825.0;CLT;529;1973;18;29;EWR;2032;1829;N460UW;2013-01-01 18:00:00
2013;1;1;351;40.0;-2.0;1402.0;B6;3.0;1302.0;BOS;187;1006;12;59;JFK;1404;1259;N273JB;2013-01-01 12:00:00
2013;1;1;767;134.0;45.0;2205.0;WN;31.0;2026.0;MDW;711;195;19;55;EWR;2120;1955;N957WN;2013-01-01 19:00:00
2013;1;1;48;63.0;5.0;815.0;B6;-2.0;645.0;BUF;301;102;6;47;JFK;810;647;N796JB;2013-01-01 06:00:00
2013;1;1;306;51.0;4.0;1318.0;EV;-5.0;1202.0;BTV;266;4347;12;7;EWR;1314;1207;N11536;2013-01-01 12:00:00
2013;1;1;336;173.0;16.0;1611.0;B6;-1.0;1251.0;FLL;1069;85;12;52;JFK;1555;1252;N657JB;2013-01-01 12:00:00
2013;1;1;657;107.0;3.0;2056.0;9E;-4.0;1825.0;DTW;509;3286;18;29;JFK;2053;1829;N906XJ;2013-01-01 18:00:00
2013;1;1;141;137.0;3.0;1018.0;AA;0.0;830.0;ORD;733;313;8;30;LGA;1015;830;N4YCAA;2013-01-01 08:00:00
2013;1;1;329;156.0;-6.0;1554.0;AA;-5.0;1240.0;MIA;1096;2253;12;45;LGA;1600;1245;N3BUAA;2013-01-01 12:00:00
2013;1;1;332;298.0;1.0;1616.0;DL;0.0;1245.0;SLC;1990;2174;12;45;JFK;1615;1245;N711ZX;2013-01-01 12:00:00
2013;1;1;292;330.0;-39.0;1450.0;DL;-7.0;1153.0;LAX;2475;863;12;0;JFK;1529;1200;N712TW;2013-01-01 12:00:00
2013;1;1;26;366.0;14.0;945.0;UA;11.0;611.0;SFO;2586;303;6;0;JFK;931;600;N532UA;2013-01-01 06:00:00
2013;1;1;522;162.0;6.0;1912.0;UA;3.0;1603.0;FLL;1065;367;16;0;EWR;1906;1600;N820UA;2013-01-01 16:00:00
2013;1;1;393;218.0;19.0;1659.0;UA;6.0;1356.0;IAH;1400;1258;13;50;EWR;1640;1350;N26906;2013-01-01 13:00:00
2013;1;1;344;346.0;-9.0;1601.0;B6;-1.0;1257.0;LGB;2465;209;12;58;JFK;1610;1258;N793JB;2013-01-01 12:00:00
2013;1;1;528;171.0;28.0;1953.0;AA;8.0;1608.0;MIA;1096;1467;16;0;LGA;1925;1600;N3DYAA;2013-01-01 16:00:00
2013;1;1;284;156.0;-16.0;1429.0;AA;-5.0;1135.0;MIA;1085;1623;11;40;EWR;1445;1140;N3EYAA;2013-01-01 11:00:00
2013;1;1;437;152.0;-17.0;1753.0;DL;-5.0;1455.0;PBI;1035;1997;15;0;LGA;1810;1500;N997DL;2013-01-01 15:00:00
2013;1;1;700;291.0;2.0;2239.0;B6;-3.0;1909.0;SLC;1990;87;19;12;JFK;2237;1912;N559JB;2013-01-01 19:00:00
2013;1;1;501;55.0;12.0;1732.0;EV;-8.0;1552.0;IAD;229;5709;16;0;LGA;1720;1600;N825AS;2013-01-01 16:00:00
2013;1;1;624;141.0;4.0;2044.0;B6;6.0;1751.0;MCO;944;9;17;45;JFK;2040;1745;N527JB;2013-01-01 17:00:00
2013;1;1;406;93.0;18.0;1613.0;MQ;12.0;1422.0;CLE;419;4491;14;10;LGA;1555;1410;N737MQ;2013-01-01 14:00:00
2013;1;1;630;36.0;-12.0;1905.0;B6;-2.0;1758.0;BOS;187;1016;18;0;JFK;1917;1800;N304JB;2013-01-01 18:00:00
2013;1;1;705;81.0;-5.0;2050.0;MQ;1.0;1911.0;RDU;431;4569;19;10;LGA;2055;1910;N737MQ;2013-01-01 19:00:00
2013;1;1;100;157.0;-14.0;1056.0;AA;-2.0;753.0;MIA;1096;2267;7;55;LGA;1110;755;N3HMAA;2013-01-01 07:00:00
2013;1;1;574;181.0;41.0;1921.0;WN;7.0;1657.0;STL;872;2773;16;50;EWR;1840;1650;N462WN;2013-01-01 16:00:00
2013;1;1;629;125.0;-15.0;2027.0;DL;-2.0;1757.0;ATL;762;1047;17;59;LGA;2042;1759;N643DL;2013-01-01 17:00:00
2013;1;1;200;324.0;-6.0;1219.0;VX;2.0;932.0;LAS;2248;251;9;30;JFK;1225;930;N641VA;2013-01-01 09:00:00
2013;1;1;19;147.0;-6.0;844.0;B6;1.0;601.0;PBI;1023;343;6;0;EWR;850;600;N644JB;2013-01-01 06:00:00
2013;1;1;163;110.0;-13.0;1107.0;DL;-8.0;857.0;DTW;502;181;9;5;LGA;1120;905;N321NB;2013-01-01 09:00:00
2013;1;1;43;144.0;-5.0;930.0;B6;-8.0;637.0;MCO;950;389;6;45;LGA;935;645;N709JB;2013-01-01 06:00:00
2013;1;1;168;359.0;-2.0;1223.0;VX;-1.0;859.0;LAX;2475;407;9;0;JFK;1225;900;N846VA;2013-01-01 09:00:00
2013;1;1;207;143.0;7.0;1127.0;WN;-3.0;937.0;MKE;738;1807;9;40;LGA;1120;940;N729SW;2013-01-01 09:00:00
2013;1;1;148;188.0;-39.0;1311.0;AA;-5.0;840.0;SJU;1598;1357;8;45;JFK;1350;845;N5FSAA;2013-01-01 08:00:00
2013;1;1;831;44.0;69.0;22.0;EV;83.0;2323.0;BTV;266;4257;22;0;EWR;2313;2200;N13538;2013-01-01 22:00:00
2013;1;1;73;156.0;21.0;911.0;UA;2.0;715.0;ORD;719;544;7;13;EWR;850;713;N841UA;2013-01-01 07:00:00
2013;1;1;596;189.0;-7.0;2154.0;B6;8.0;1718.0;SJU;1598;699;17;10;JFK;2201;1710;N507JB;2013-01-01 17:00:00
